code;sample;genotype;population;time;treatment;strain;subspp;GC;Dups
0_MA1_2;1;MA1;imouzzer;0;Control;M_m;maroccana;48.5;19.401445
0_MA1_3;2;MA1;imouzzer;0;Sombra;M_m;maroccana;51;20.634457
0_MA1_5;3;MA1;imouzzer;0;UVB;M_m;maroccana;47;20.518987
0_MA2_1;4;MA2;imouzzer;0;Control;M_m;maroccana;48;20.688435
0_MA2_3;5;MA2;imouzzer;0;Sombra;M_m;maroccana;52;20.435093
0_MA2_5;6;MA2;imouzzer;0;UVB;M_m;maroccana;48;20.603676
0_MA3_1;7;MA3;imouzzer;0;Control;M_m;maroccana;45.5;20.700984
0_MA3_4;8;MA3;imouzzer;0;Sombra;M_m;maroccana;46.5;20.691868
0_MA3_5;9;MA3;imouzzer;0;UVB;M_m;maroccana;46;20.616584
0_ANA23_1;10;ANA23;anaga;0;Control;M_g1;guanchica;51;20.60419
0_ANA23_5;11;ANA23;anaga;0;UVB;M_g1;guanchica;47.5;20.335113
0_HER8_2;12;HER8;hermigua;0;Control;M_g1;guanchica;47;20.121218
0_HER8_3;13;HER8;hermigua;0;Sombra;M_g1;guanchica;47;20.624078
0_HER8_6;14;HER8;hermigua;0;UVB;M_g1;guanchica;50;20.564199
0_BAR6_1;15;BAR6;b_cernicalos;0;Control;M_g2;guanchica;48;20.369004
0_BAR6_3;16;BAR6;b_cernicalos;0;Sombra;M_g2;guanchica;47;20.488735
0_BAR6_5;17;BAR6;b_cernicalos;0;UVB;M_g2;guanchica;45.5;20.640293
0_ACZ4_1;18;ACZ4;sierra_cadiz;0;Control;E1;europaea;49;20.505946
0_ACZ4_5;19;ACZ4;sierra_cadiz;0;UVB;E1;europaea;48;19.860567
0_AJA1_1;20;AJA1;sierra_jaen;0;Control;E3;europaea;50;17.361478
0_AJA1_3;21;AJA1;sierra_jaen;0;Sombra;E3;europaea;47;20.318685
0_AJA1_6;22;AJA1;sierra_jaen;0;UVB;E3;europaea;47;14.763775
0_AOU12_2;23;AOU12;aourir;0;Control;E2;europaea;47;19.846535
0_AOU12_6;24;AOU12;aourir;0;UVB;E2;europaea;46;18.317405
12_MA1_1;25;MA1;imouzzer;12;Control;M_m;maroccana;44;57.83464332
12_MA1_4;26;MA1;imouzzer;12;Sombra;M_m;maroccana;46.5;76.48066166
12_MA1_5;27;MA1;imouzzer;12;UVB;M_m;maroccana;47;67.80169214
12_MA2_2;28;MA2;imouzzer;12;Control;M_m;maroccana;45;60.46442092
12_MA2_4;29;MA2;imouzzer;12;Sombra;M_m;maroccana;50;77.3352226
12_MA2_6;30;MA2;imouzzer;12;UVB;M_m;maroccana;51;81.54097022
12_MA3_1;31;MA3;imouzzer;12;Control;M_m;maroccana;44.5;60.01877807
12_MA3_4;32;MA3;imouzzer;12;Sombra;M_m;maroccana;47;71.28555592
12_MA3_6;33;MA3;imouzzer;12;UVB;M_m;maroccana;51;81.42004797
12_ANA23_1;34;ANA23;anaga;12;Control;M_g1;guanchica;45.5;65.27624726
12_ANA23_3;35;ANA23;anaga;12;Sombra;M_g1;guanchica;47.5;75.26803802
12_ANA23_5;36;ANA23;anaga;12;UVB;M_g1;guanchica;50;78.29595965
12_HER8_1;37;HER8;hermigua;12;Control;M_g1;guanchica;47;70.94605366
12_HER8_3;38;HER8;hermigua;12;Sombra;M_g1;guanchica;51;85.12779903
12_HER8_5;39;HER8;hermigua;12;UVB;M_g1;guanchica;53;91.15207488
12_BAR6_1;40;BAR6;b_cernicalos;12;Control;M_g2;guanchica;46;70.68140934
12_BAR6_3;41;BAR6;b_cernicalos;12;Sombra;M_g2;guanchica;50;80.43224409
12_BAR6_6;42;BAR6;b_cernicalos;12;UVB;M_g2;guanchica;48;72.67632502
12_ACZ4_1;43;ACZ4;sierra_cadiz;12;Control;E1;europaea;50;78.6839126
12_ACZ4_5;44;ACZ4;sierra_cadiz;12;UVB;E1;europaea;46;68.01957937
12_AJA1_1;45;AJA1;sierra_jaen;12;Control;E3;europaea;46;65.97290563
12_AJA1_4;46;AJA1;sierra_jaen;12;Sombra;E3;europaea;49;77.81745777
12_AJA1_5;47;AJA1;sierra_jaen;12;UVB;E3;europaea;53;89.96935311
12_AOU12_1;48;AOU12;aourir;12;Control;E2;europaea;44;63.74294507
12_AOU12_6;49;AOU12;aourir;12;UVB;E2;europaea;48;70.09148346
